amount,merchantName,transactionType,paymentMethod,deviceType,location,currency,hourOfDay,isWeekend,fraud
42324,Reliance Digital,Deposit,Debit Card,Tablet,Bangalore,INR,14,0,0
15994,Swiggy,Purchase,Debit Card,Mobile,Delhi,INR,1,0,0
45902,Flipkart,Purchase,Wallet,Desktop,Bangalore,INR,20,1,1
13591,Amazon India,Transfer,UPI,Tablet,Chennai,INR,9,0,0
39448,Flipkart,Deposit,Debit Card,Mobile,Bangalore,INR,23,0,1
5720,Zomato,Deposit,Credit Card,Tablet,Bangalore,INR,23,1,0
20010,Zomato,Purchase,UPI,Mobile,Delhi,INR,20,0,0
43664,Myntra,Deposit,UPI,Mobile,Delhi,INR,8,0,0
28703,Swiggy,Purchase,UPI,Desktop,Hyderabad,INR,23,0,0
10394,Swiggy,Transfer,Credit Card,Mobile,Chennai,INR,18,1,1
25959,Reliance Digital,Deposit,Debit Card,Mobile,Chennai,INR,16,0,0
41231,Flipkart,Deposit,UPI,Mobile,Delhi,INR,22,1,1
34009,Myntra,Transfer,Wallet,Mobile,Bangalore,INR,5,1,1
29165,Flipkart,Withdrawal,Debit Card,Mobile,Chennai,INR,12,1,0
38517,Reliance Digital,Deposit,Net Banking,Mobile,Hyderabad,INR,19,1,1
19583,Reliance Digital,Purchase,Debit Card,Desktop,Chennai,INR,6,0,0
21536,Zomato,Withdrawal,UPI,Mobile,Chennai,INR,23,0,0
46820,Reliance Digital,Withdrawal,Wallet,Mobile,Delhi,INR,21,0,1
34380,Reliance Digital,Withdrawal,UPI,Mobile,Chennai,INR,15,1,1
728,Reliance Digital,Transfer,UPI,Mobile,Hyderabad,INR,1,0,0
23232,Zomato,Purchase,Debit Card,Tablet,Mumbai,INR,1,0,0
39541,Flipkart,Withdrawal,Credit Card,Desktop,Hyderabad,INR,7,1,1
36648,Reliance Digital,Withdrawal,UPI,Tablet,Chennai,INR,0,1,1
17916,Flipkart,Deposit,Wallet,Mobile,Chennai,INR,18,1,0
15830,Swiggy,Withdrawal,Debit Card,Desktop,Hyderabad,INR,2,0,0
4658,Reliance Digital,Transfer,Wallet,Tablet,Delhi,INR,9,1,1
20071,Swiggy,Purchase,Wallet,Tablet,Chennai,INR,1,0,0
31941,Myntra,Purchase,UPI,Tablet,Bangalore,INR,2,1,1
30975,Amazon India,Deposit,Debit Card,Tablet,Mumbai,INR,16,0,0
17497,Flipkart,Withdrawal,Net Banking,Desktop,Chennai,INR,14,1,0
25829,Flipkart,Deposit,Debit Card,Mobile,Bangalore,INR,16,0,0
10434,Zomato,Withdrawal,Net Banking,Tablet,Mumbai,INR,12,0,0
7854,Amazon India,Withdrawal,Credit Card,Desktop,Chennai,INR,19,0,0
39803,Flipkart,Deposit,Net Banking,Desktop,Chennai,INR,5,0,0
13934,Reliance Digital,Transfer,Net Banking,Desktop,Delhi,INR,9,1,0
24188,Flipkart,Purchase,Debit Card,Tablet,Delhi,INR,5,0,0
24851,Myntra,Deposit,Wallet,Tablet,Bangalore,INR,1,0,0
22990,Amazon India,Purchase,Wallet,Desktop,Bangalore,INR,0,0,0
25532,Myntra,Transfer,Net Banking,Desktop,Chennai,INR,18,1,1
41185,Flipkart,Transfer,Debit Card,Tablet,Chennai,INR,14,1,1
16899,Myntra,Deposit,Wallet,Mobile,Hyderabad,INR,0,1,0
39207,Flipkart,Transfer,UPI,Mobile,Mumbai,INR,2,0,1
8645,Swiggy,Withdrawal,Credit Card,Desktop,Hyderabad,INR,21,1,0
6061,Amazon India,Deposit,Net Banking,Mobile,Chennai,INR,2,1,1
47417,Swiggy,Withdrawal,Wallet,Desktop,Delhi,INR,8,1,1
18087,Amazon India,Purchase,Debit Card,Mobile,Chennai,INR,7,1,0
43914,Swiggy,Transfer,UPI,Mobile,Delhi,INR,18,1,1
370,Swiggy,Withdrawal,Wallet,Mobile,Bangalore,INR,16,1,0
24460,Amazon India,Purchase,Wallet,Tablet,Hyderabad,INR,18,1,0
23927,Swiggy,Withdrawal,Net Banking,Desktop,Chennai,INR,0,1,0
29024,Amazon India,Deposit,Debit Card,Desktop,Bangalore,INR,6,1,0
38769,Flipkart,Withdrawal,Net Banking,Mobile,Hyderabad,INR,16,0,1
40148,Amazon India,Deposit,Debit Card,Tablet,Bangalore,INR,1,0,1
30194,Zomato,Transfer,UPI,Mobile,Bangalore,INR,4,1,1
2237,Swiggy,Transfer,Wallet,Mobile,Delhi,INR,16,1,1
34966,Amazon India,Purchase,Wallet,Tablet,Bangalore,INR,14,0,0
3467,Zomato,Deposit,Debit Card,Mobile,Chennai,INR,12,0,0
40793,Amazon India,Withdrawal,Net Banking,Mobile,Bangalore,INR,12,1,0
36309,Swiggy,Transfer,Wallet,Desktop,Chennai,INR,3,1,1
1734,Myntra,Deposit,Credit Card,Mobile,Delhi,INR,18,0,0
39276,Zomato,Deposit,Net Banking,Tablet,Mumbai,INR,5,0,1
39371,Swiggy,Deposit,Wallet,Desktop,Delhi,INR,14,1,0
47607,Swiggy,Deposit,Debit Card,Tablet,Chennai,INR,17,1,1
39133,Zomato,Transfer,Net Banking,Mobile,Chennai,INR,10,1,1
41653,Myntra,Purchase,Credit Card,Tablet,Delhi,INR,15,1,1
43433,Myntra,Withdrawal,Net Banking,Mobile,Bangalore,INR,16,1,1
29400,Swiggy,Withdrawal,Credit Card,Tablet,Hyderabad,INR,23,0,0
32725,Reliance Digital,Transfer,Credit Card,Tablet,Bangalore,INR,13,0,1
20319,Zomato,Deposit,UPI,Desktop,Delhi,INR,16,0,0
1159,Amazon India,Transfer,Wallet,Desktop,Delhi,INR,18,0,1
13225,Amazon India,Deposit,Net Banking,Desktop,Delhi,INR,12,1,0
38005,Flipkart,Purchase,Credit Card,Tablet,Mumbai,INR,17,1,1
6653,Amazon India,Purchase,UPI,Tablet,Hyderabad,INR,13,0,0
38262,Zomato,Purchase,UPI,Mobile,Mumbai,INR,18,1,0
2457,Flipkart,Withdrawal,Debit Card,Tablet,Mumbai,INR,20,0,0
26997,Swiggy,Transfer,UPI,Desktop,Hyderabad,INR,12,1,0
29263,Reliance Digital,Transfer,UPI,Mobile,Delhi,INR,23,1,0
33909,Zomato,Withdrawal,Debit Card,Tablet,Bangalore,INR,8,1,1
14818,Reliance Digital,Transfer,Net Banking,Tablet,Bangalore,INR,8,0,0
3337,Flipkart,Purchase,Net Banking,Desktop,Hyderabad,INR,6,0,0
9608,Zomato,Withdrawal,Net Banking,Desktop,Hyderabad,INR,9,1,0
26969,Myntra,Withdrawal,Debit Card,Mobile,Chennai,INR,14,0,0
15494,Flipkart,Transfer,Credit Card,Mobile,Hyderabad,INR,13,0,1
12733,Amazon India,Transfer,UPI,Mobile,Hyderabad,INR,14,1,0
19807,Swiggy,Transfer,Wallet,Mobile,Chennai,INR,15,0,0
25449,Reliance Digital,Transfer,Debit Card,Mobile,Hyderabad,INR,21,0,0
40937,Zomato,Deposit,Credit Card,Tablet,Bangalore,INR,12,0,1
33033,Zomato,Purchase,Wallet,Tablet,Chennai,INR,19,1,0
17759,Myntra,Transfer,UPI,Tablet,Delhi,INR,0,1,0
30016,Reliance Digital,Withdrawal,UPI,Desktop,Hyderabad,INR,6,1,1
33119,Flipkart,Deposit,Credit Card,Desktop,Delhi,INR,22,0,1
25064,Swiggy,Deposit,Credit Card,Tablet,Chennai,INR,0,0,0
44690,Flipkart,Purchase,Net Banking,Tablet,Bangalore,INR,2,1,1
40618,Myntra,Deposit,Debit Card,Mobile,Bangalore,INR,14,1,1
9340,Myntra,Deposit,UPI,Mobile,Hyderabad,INR,12,0,0
35909,Amazon India,Purchase,UPI,Mobile,Mumbai,INR,7,1,0
47418,Zomato,Deposit,Net Banking,Tablet,Delhi,INR,1,1,1
27572,Reliance Digital,Deposit,Debit Card,Tablet,Hyderabad,INR,19,0,0
34603,Zomato,Deposit,UPI,Tablet,Chennai,INR,6,1,1
2151,Amazon India,Transfer,Net Banking,Tablet,Chennai,INR,17,0,0
16371,Flipkart,Transfer,Net Banking,Desktop,Chennai,INR,6,0,0
19601,Flipkart,Deposit,Wallet,Tablet,Bangalore,INR,19,1,0
11088,Reliance Digital,Purchase,UPI,Tablet,Delhi,INR,9,0,0
22918,Myntra,Deposit,Wallet,Mobile,Bangalore,INR,9,0,0
45688,Reliance Digital,Withdrawal,Wallet,Desktop,Mumbai,INR,2,1,1
46205,Amazon India,Purchase,Net Banking,Mobile,Hyderabad,INR,0,1,1
37911,Zomato,Purchase,Wallet,Tablet,Chennai,INR,23,1,1
14318,Reliance Digital,Purchase,Wallet,Mobile,Bangalore,INR,15,0,0
14528,Myntra,Deposit,Debit Card,Tablet,Delhi,INR,8,1,0
10029,Amazon India,Withdrawal,Wallet,Desktop,Hyderabad,INR,3,1,0
19097,Reliance Digital,Transfer,Debit Card,Mobile,Chennai,INR,7,1,0
5698,Zomato,Transfer,Net Banking,Tablet,Delhi,INR,9,0,0
18465,Amazon India,Purchase,Net Banking,Mobile,Bangalore,INR,5,1,0
37092,Amazon India,Deposit,UPI,Mobile,Mumbai,INR,22,0,0
29837,Swiggy,Purchase,Net Banking,Tablet,Bangalore,INR,20,1,0
44531,Swiggy,Purchase,Credit Card,Desktop,Chennai,INR,5,1,1
5505,Zomato,Transfer,Credit Card,Mobile,Bangalore,INR,5,1,0
48410,Myntra,Deposit,Net Banking,Tablet,Bangalore,INR,12,0,0
22425,Reliance Digital,Purchase,UPI,Mobile,Hyderabad,INR,21,1,0
10301,Zomato,Purchase,Credit Card,Desktop,Delhi,INR,3,1,1
21231,Swiggy,Deposit,Wallet,Desktop,Mumbai,INR,23,1,0
40120,Amazon India,Deposit,Net Banking,Tablet,Mumbai,INR,18,1,0
18201,Flipkart,Purchase,Credit Card,Desktop,Delhi,INR,21,0,0
27994,Zomato,Purchase,Debit Card,Mobile,Mumbai,INR,12,1,0
41367,Amazon India,Transfer,Wallet,Tablet,Mumbai,INR,14,0,1
32002,Myntra,Transfer,UPI,Mobile,Chennai,INR,7,1,1
25678,Flipkart,Withdrawal,Credit Card,Mobile,Hyderabad,INR,9,0,0
13553,Amazon India,Transfer,Debit Card,Desktop,Mumbai,INR,6,0,0
38702,Reliance Digital,Transfer,Wallet,Mobile,Delhi,INR,18,0,1
19117,Myntra,Withdrawal,Net Banking,Desktop,Chennai,INR,20,1,0
6588,Amazon India,Purchase,Net Banking,Desktop,Mumbai,INR,10,1,0
39451,Zomato,Deposit,Debit Card,Tablet,Delhi,INR,10,1,1
17908,Zomato,Transfer,Wallet,Mobile,Chennai,INR,20,1,0
48883,Zomato,Withdrawal,Credit Card,Mobile,Mumbai,INR,15,0,1
13717,Amazon India,Deposit,Credit Card,Mobile,Hyderabad,INR,10,0,0
10491,Myntra,Transfer,UPI,Tablet,Mumbai,INR,18,0,0
2611,Flipkart,Withdrawal,Wallet,Tablet,Bangalore,INR,22,1,0
8373,Swiggy,Transfer,Net Banking,Tablet,Delhi,INR,1,1,0
8838,Flipkart,Deposit,Credit Card,Desktop,Delhi,INR,3,0,0
38772,Flipkart,Purchase,Net Banking,Desktop,Bangalore,INR,19,1,1
12020,Flipkart,Transfer,Credit Card,Desktop,Hyderabad,INR,8,1,1
8486,Zomato,Withdrawal,Credit Card,Tablet,Hyderabad,INR,14,1,0
29505,Flipkart,Deposit,Net Banking,Desktop,Chennai,INR,3,0,1
44975,Myntra,Withdrawal,Credit Card,Mobile,Hyderabad,INR,2,1,1
38881,Swiggy,Deposit,Debit Card,Desktop,Hyderabad,INR,20,0,1
21585,Myntra,Purchase,Wallet,Desktop,Delhi,INR,1,1,1
1614,Swiggy,Withdrawal,Debit Card,Mobile,Chennai,INR,8,0,0
38497,Zomato,Withdrawal,Wallet,Tablet,Chennai,INR,13,1,0
26017,Zomato,Deposit,Debit Card,Mobile,Chennai,INR,1,0,0
27343,Flipkart,Deposit,Wallet,Tablet,Delhi,INR,16,1,0
23333,Swiggy,Withdrawal,Credit Card,Desktop,Hyderabad,INR,7,1,0
33223,Swiggy,Deposit,UPI,Desktop,Chennai,INR,7,1,1
42753,Flipkart,Withdrawal,Net Banking,Mobile,Mumbai,INR,14,1,1
37085,Myntra,Purchase,Credit Card,Desktop,Delhi,INR,13,0,0
13592,Myntra,Purchase,Wallet,Tablet,Chennai,INR,6,0,0
1587,Myntra,Transfer,Debit Card,Mobile,Delhi,INR,4,0,1
15734,Flipkart,Transfer,Credit Card,Mobile,Delhi,INR,19,0,1
32091,Myntra,Transfer,Wallet,Tablet,Delhi,INR,21,0,1
5617,Zomato,Purchase,Wallet,Desktop,Chennai,INR,16,1,0
47474,Amazon India,Transfer,Wallet,Mobile,Chennai,INR,9,0,1
13904,Zomato,Withdrawal,Credit Card,Tablet,Hyderabad,INR,14,0,0
29792,Reliance Digital,Purchase,Debit Card,Tablet,Hyderabad,INR,12,1,0
38379,Amazon India,Purchase,UPI,Desktop,Chennai,INR,15,0,0
9560,Zomato,Withdrawal,Debit Card,Desktop,Delhi,INR,17,1,0
3234,Myntra,Deposit,Wallet,Mobile,Bangalore,INR,2,0,0
43011,Amazon India,Withdrawal,UPI,Tablet,Mumbai,INR,4,0,1
36392,Reliance Digital,Transfer,Wallet,Desktop,Chennai,INR,6,0,1
34595,Swiggy,Purchase,Debit Card,Desktop,Mumbai,INR,19,0,0
29641,Amazon India,Transfer,Wallet,Tablet,Chennai,INR,20,1,0
13166,Zomato,Transfer,Debit Card,Mobile,Chennai,INR,15,0,0
26125,Amazon India,Transfer,Credit Card,Tablet,Mumbai,INR,1,1,1
18590,Reliance Digital,Withdrawal,Debit Card,Tablet,Hyderabad,INR,7,0,0
11583,Amazon India,Transfer,Wallet,Desktop,Delhi,INR,8,1,0
32820,Flipkart,Deposit,Credit Card,Desktop,Hyderabad,INR,10,0,1
26499,Myntra,Transfer,Credit Card,Mobile,Chennai,INR,14,1,1
16343,Amazon India,Withdrawal,Net Banking,Tablet,Mumbai,INR,13,0,0
13803,Reliance Digital,Withdrawal,Net Banking,Mobile,Hyderabad,INR,8,0,0
17746,Zomato,Transfer,Wallet,Desktop,Hyderabad,INR,9,1,0
21027,Amazon India,Purchase,Net Banking,Mobile,Chennai,INR,2,0,0
9101,Flipkart,Withdrawal,UPI,Mobile,Bangalore,INR,1,1,0
13164,Flipkart,Withdrawal,Credit Card,Mobile,Delhi,INR,12,0,0
7363,Swiggy,Purchase,UPI,Desktop,Mumbai,INR,21,1,0
26429,Reliance Digital,Transfer,UPI,Desktop,Hyderabad,INR,22,1,0
49880,Myntra,Transfer,UPI,Desktop,Delhi,INR,22,1,1
13571,Myntra,Deposit,Debit Card,Desktop,Bangalore,INR,10,1,0
46111,Amazon India,Purchase,UPI,Tablet,Bangalore,INR,17,1,0
17455,Swiggy,Purchase,Net Banking,Tablet,Bangalore,INR,14,0,0
47736,Myntra,Purchase,Wallet,Tablet,Chennai,INR,5,1,0
33430,Zomato,Transfer,Credit Card,Desktop,Chennai,INR,19,1,1
37998,Amazon India,Transfer,Net Banking,Desktop,Mumbai,INR,19,0,1
17463,Zomato,Deposit,Wallet,Mobile,Chennai,INR,12,1,0
28549,Myntra,Deposit,Debit Card,Desktop,Mumbai,INR,16,0,0
31240,Zomato,Deposit,Wallet,Mobile,Mumbai,INR,23,0,0
47524,Flipkart,Deposit,Debit Card,Tablet,Delhi,INR,8,0,0
14374,Flipkart,Deposit,UPI,Tablet,Bangalore,INR,15,0,0
31760,Flipkart,Purchase,UPI,Desktop,Delhi,INR,22,1,1
26807,Swiggy,Purchase,UPI,Tablet,Bangalore,INR,12,0,0
43791,Zomato,Purchase,Credit Card,Mobile,Hyderabad,INR,23,1,1
9956,Flipkart,Transfer,Net Banking,Tablet,Chennai,INR,2,0,1
25511,Myntra,Purchase,UPI,Desktop,Bangalore,INR,18,1,0
47508,Swiggy,Purchase,Debit Card,Desktop,Delhi,INR,22,1,1
13346,Zomato,Deposit,UPI,Mobile,Delhi,INR,23,0,0
9090,Reliance Digital,Withdrawal,UPI,Desktop,Bangalore,INR,13,1,0
39442,Myntra,Transfer,UPI,Desktop,Delhi,INR,17,1,1
10653,Myntra,Withdrawal,Credit Card,Mobile,Delhi,INR,7,1,0
46783,Myntra,Withdrawal,Net Banking,Mobile,Chennai,INR,9,1,0
39578,Amazon India,Purchase,Net Banking,Desktop,Bangalore,INR,16,1,1
16399,Reliance Digital,Withdrawal,UPI,Mobile,Mumbai,INR,6,1,0
28410,Reliance Digital,Purchase,Credit Card,Tablet,Delhi,INR,0,0,1
24268,Reliance Digital,Deposit,UPI,Mobile,Delhi,INR,8,1,0
13508,Flipkart,Withdrawal,Wallet,Desktop,Delhi,INR,7,1,0
28609,Zomato,Transfer,Debit Card,Tablet,Chennai,INR,14,1,0
16464,Myntra,Deposit,UPI,Desktop,Mumbai,INR,14,0,0
32118,Swiggy,Purchase,Net Banking,Mobile,Mumbai,INR,2,0,1
21707,Swiggy,Withdrawal,Net Banking,Desktop,Chennai,INR,16,1,0
1444,Myntra,Transfer,Wallet,Desktop,Delhi,INR,12,0,1
2150,Myntra,Withdrawal,Wallet,Tablet,Delhi,INR,1,1,0
47250,Reliance Digital,Transfer,Wallet,Mobile,Delhi,INR,22,1,1
29482,Swiggy,Deposit,Debit Card,Tablet,Chennai,INR,20,1,0
19083,Reliance Digital,Transfer,UPI,Tablet,Mumbai,INR,6,1,0
25597,Swiggy,Deposit,Credit Card,Desktop,Delhi,INR,15,1,1
32985,Zomato,Withdrawal,UPI,Tablet,Delhi,INR,23,0,0
13586,Amazon India,Withdrawal,Debit Card,Tablet,Chennai,INR,3,0,0
23452,Myntra,Withdrawal,UPI,Desktop,Delhi,INR,23,1,0
43608,Swiggy,Deposit,Wallet,Desktop,Mumbai,INR,12,0,0
45626,Reliance Digital,Transfer,UPI,Tablet,Hyderabad,INR,23,0,1
28414,Zomato,Purchase,Credit Card,Desktop,Mumbai,INR,2,1,1
5654,Amazon India,Deposit,UPI,Desktop,Delhi,INR,21,1,0
33892,Swiggy,Transfer,UPI,Desktop,Bangalore,INR,15,0,0
23384,Swiggy,Deposit,Net Banking,Desktop,Chennai,INR,1,1,1
31536,Zomato,Deposit,Wallet,Tablet,Bangalore,INR,13,1,0
37470,Flipkart,Purchase,UPI,Desktop,Mumbai,INR,17,0,1
